burnup,boron,group,absorption,capture,fission,nu_fission,transport,out_scatter,diffusion
0.0,0.0,1,0.0107996,0.00735482,0.00344476,0.00871161,0.250683,0.0184943,1.3297
0.0,459.2,1,0.010957,0.00750397,0.00345299,0.00873102,0.251097,0.0185664,1.32751
0.0,510.2,1,0.0109743,0.00752045,0.00345386,0.00873308,0.251142,0.0185738,1.32727
0.0,561.2,1,0.0109916,0.00753692,0.00345472,0.00873512,0.251186,0.0185811,1.32704
0.0,612.2,1,0.0110089,0.00755337,0.00345558,0.00873714,0.25123,0.0185882,1.3268
0.0,663.3,1,0.0110263,0.00756984,0.00345643,0.00873915,0.251274,0.0185953,1.32657
0.0,714.3,1,0.0110435,0.00758625,0.00345726,0.00874113,0.251318,0.0186022,1.32634
0.0,765.3,1,0.0110608,0.00760266,0.0034581,0.0087431,0.251361,0.018609,1.32612
0.0,816.3,1,0.011078,0.00761904,0.00345892,0.00874504,0.251404,0.0186157,1.32589
0.0,867.4,1,0.0110952,0.00763545,0.00345974,0.00874697,0.251446,0.0186223,1.32566
0.0,918.4,1,0.0111123,0.0076518,0.00346055,0.00874889,0.251489,0.0186288,1.32544
0.0,51.0,1,0.0108172,0.00737144,0.00344571,0.00871384,0.25073,0.0185028,1.32945
0.0,969.4,1,0.0111295,0.00766815,0.00346135,0.00875078,0.251531,0.0186352,1.32522
0.0,1020.4,1,0.0111466,0.00768447,0.00346214,0.00875266,0.251572,0.0186415,1.325
0.0,1071.4,1,0.0111637,0.00770078,0.00346293,0.00875452,0.251614,0.0186476,1.32478
0.0,1122.5,1,0.0111808,0.0077171,0.00346371,0.00875636,0.251655,0.0186537,1.32456
0.0,1173.5,1,0.0111979,0.00773338,0.00346448,0.00875819,0.251696,0.0186596,1.32435
0.0,1224.5,1,0.0112149,0.00774964,0.00346524,0.00875999,0.251737,0.0186655,1.32413
0.0,1275.5,1,0.0112319,0.00776588,0.003466,0.00876178,0.251778,0.0186712,1.32392
0.0,1326.5,1,0.0112489,0.00778211,0.00346675,0.00876356,0.251818,0.0186768,1.32371
0.0,1377.6,1,0.0112658,0.00779836,0.00346749,0.00876532,0.251858,0.0186824,1.3235
0.0,1428.6,1,0.0112828,0.00781456,0.00346823,0.00876707,0.251898,0.0186878,1.32329
0.0,102.0,1,0.0108347,0.00738806,0.00344665,0.00871606,0.250777,0.0185112,1.3292
